VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
919,208,Heard,Australia,no data,2745,Stratovolcano,no data,-53.10,73.50
923,210,Hierro,Spain,no data,1500,Shield,no data,27.73,-18.03
925,211,Hood,United States,no data,3426,Stratovolcano,no data,45.40,-121.70
927,212,Hualalai,United States,no data,2523,Shield,no data,19.69,-155.87
929,213,Ibu,Indonesia,no data,1325,Stratovolcano,no data,1.49,127.63
931,214,Ijen,Indonesia,no data,2386,Stratovolcano,no data,-8.06,114.24
933,215,Iliamna,United States,no data,3053,Stratovolcano,no data,60.60,-153.09
935,216,Iliboleng,Indonesia,no data,1659,Stratovolcano,no data,-8.34,123.26
937,217,Iliniza,Ecuador,no data,5248,Stratovolcano,no data,-0.66,-78.71
939,218,Ilopango,El Salvador,no data,450,Caldera,no data,13.67,-89.05
941,219,Ilyinsky,Russia,no data,1578,Stratovolcano,no data,51.49,157.20
943,220,Ioto (Iwo-jima),Japan,no data,161,Caldera,no data,24.75,141.29
945,221,Iraya,Philippines,no data,1009,Stratovolcano,no data,20.47,122.01
947,222,Irazu,Costa Rica,no data,3431,Stratovolcano,no data,9.98,83.85
949,223,Isanotski,United States,no data,2446,Stratovolcano,no data,54.77,-163.72
951,224,Izalco,El Salvador,no data,1950,Stratovolcano,no data,13.81,-89.63
953,225,Iztaccihuatl,Mexico,no data,5286,Stratovolcano,no data,19.18,-98.64
955,226,Izu-Tobu,Japan,no data,581,Pyroclastic cone,no data,34.90,139.10
957,227,Jailolo,Indonesia,no data,1130,Stratovolcano,no data,44204,127.42
959,228,Jefferson,United States,no data,3199,Stratovolcano,no data,44.67,-121.80
961,229,Jordan Craters,United States,no data,1400,Volcanic field,no data,15980,-117.40
963,230,Kadovar,Papua New Guinea,no data,365,Stratovolcano,no data,-3.63,144.63
965,231,Kaguyak,United States,no data,901,Stratovolcano,no data,58.62,-154.06
967,232,Kahoolawe,United States,no data,450,Shield,no data,20.55,-156.57
969,233,Kambalny,Russia,no data,2156,Stratovolcano,no data,51.30,156.87
971,234,Kanaga,United States,no data,1307,Stratovolcano,no data,51.92,-177.17
973,235,Karangetang [Api Siau],Indonesia,no data,1784,Stratovolcano,no data,2.78,125.40
975,236,Karisimbi,Congo, Rwanda,4507,Stratovolcano,no data,-1.51,29.45
977,237,Karisimbi,Congo, Rwanda,4507,Stratovolcano,no data,-1.51,29.45
979,238,Karthala,Comoros,no data,2361,Shield,no data,-11.75,43.38
981,239,Karymsky,Russia,no data,1536,Stratovolcano,no data,80,159.45
983,240,Katla,Iceland,no data,1512,Fissure vent,no data,63.63,-19.05
985,241,Katmai,United States,no data,2047,Stratovolcano,no data,58.28,-154.96
987,242,Katwe-Kikorongo,Uganda,no data,1067,Volcanic field,no data,-0.08,29.92
989,243,Kavachi,Solomon Islands,no data,-20,Submarine,no data,-9.02,157.95
991,244,Kell,Russia,no data,900,Stratovolcano,no data,51.65,157.35
993,245,Kelut,Indonesia,no data,1731,Stratovolcano,no data,-7.93,112.31
995,246,Kerinci,Indonesia,no data,3800,Stratovolcano,no data,1.70,101.26
999,248,Kialagvik,United States,no data,1677,Stratovolcano,no data,57.20,-156.75
1003,250,Kikai,Japan,no data,704,Caldera,no data,30.79,130.31
1005,251,Kikhpinych,Russia,no data,1552,Stratovolcano,no data,54.49,160.25
1007,252,Kilauea,United States,no data,1222,Shield,no data,19.42,-155.29
1011,254,Kirishima,Japan,no data,1700,Stratovolcano,no data,31.93,130.86
1015,256,Komagatake,Japan,no data,1131,Stratovolcano,no data,52,140.68
1017,257,Kone,Ethiopia,no data,1619,Caldera,no data,8.80,39.69
1019,258,Koryaksky,Russia,no data,3456,Stratovolcano,no data,53.32,158.69
1021,259,Koshelev,Russia,no data,1812,Stratovolcano,no data,51.36,156.75
1023,260,Krafla,Iceland,no data,818,Caldera,no data,65.73,-16.78
1025,261,Krakatau,Indonesia,no data,813,Stratovolcano,no data,-6.10,105.42
1027,262,Krasheninnikov,Russia,no data,1856,Stratovolcano,no data,54.59,160.27
1029,263,Kronotsky,Russia,no data,3528,Stratovolcano,no data,54.75,160.53
1031,264,Ksudach,Russia,no data,1079,Stratovolcano,no data,51.80,157.53
1033,265,Kukak,United States,no data,2043,Stratovolcano,no data,58.45,-154.36
1035,266,Kusatsu-Shirane,Japan,no data,2171,Stratovolcano,no data,36.64,138.54
1037,267,Kutcharo,Japan,no data,999,Caldera,no data,43.61,144.44
1039,268,Kuttara,Japan,no data,581,Stratovolcano,no data,42.49,141.16
1041,269,Kuwae,Vanuatu,no data,-2,Caldera,no data,-16.83,168.54
1043,270,La Palma,Spain,no data,2426,Stratovolcano,no data,28.57,-17.83
1045,271,Lamington,Papua New Guinea,no data,1680,Stratovolcano,no data,-8.95,148.15
1047,272,Langila,Papua New Guinea,no data,1330,Stratovolcano,no data,-5.53,148.42
1049,273,Lanzarote,Spain,no data,670,Fissure vent,no data,29,-13.63
1051,274,L?scar,Chile,no data,5592,Stratovolcano,no data,-23.37,-67.73
1053,275,Lereboleng,Indonesia,no data,1117,Complex,no data,-8.36,122.84
1055,276,Lewotobi,Indonesia,no data,1703,Stratovolcano,no data,-8.54,122.78
1057,277,Lewotolo,Indonesia,no data,1423,Stratovolcano,no data,-8.27,123.51
1059,278,Liamuiga,St. Kitts and Nevis,no data,1156,Stratovolcano,no data,17.37,-62.80
1061,279,Lipari,Italy,no data,602,Stratovolcano,no data,38.48,14.95
1063,280,Little Sitkin,United States,no data,1174,Stratovolcano,no data,51.95,178.54
1065,281,Loihi,United States,no data,-975,Submarine,no data,18.92,-155.27
1067,282,Lokon-Empung,Indonesia,no data,1580,Stratovolcano,no data,1.36,124.79
1069,283,Lolo,Papua New Guinea,no data,805,Stratovolcano,no data,-5.47,150.51
1071,284,Lolobau,Papua New Guinea,no data,858,Caldera,no data,-4.92,151.16
1073,285,Loloru,Papua New Guinea,no data,1887,Stratovolcano,no data,-6.52,155.62
1075,286,Long Island,Papua New Guinea,no data,1280,Complex,no data,-5.36,147.12
1077,287,Longonot,Kenya,no data,2776,Stratovolcano,no data,-0.91,36.45
1079,288,Lopevi,Vanuatu,no data,1413,Stratovolcano,no data,-16.51,168.35
1081,289,Maderas,Nicaragua,no data,1394,Stratovolcano,no data,11.45,-85.52
1083,290,Mageik,United States,no data,2165,Stratovolcano,no data,58.20,155.25
1085,291,Mahawu,Indonesia,no data,1324,Stratovolcano,no data,1.36,124.86
1087,292,Makian,Indonesia,no data,1357,Stratovolcano,no data,0.32,127.40
1089,293,Maly Semiachik,Russia,no data,1560,Caldera,no data,54.13,159.67
1091,294,Manam,Papua New Guinea,no data,1807,Stratovolcano,no data,-4.08,145.04
1093,295,Mariveles,Philippines,no data,1388,Stratovolcano,no data,14.52,120.47
1095,296,Marsabit,Kenya,no data,1707,Shield,no data,2.32,37.97
1097,297,Masaya,Nicaragua,no data,635,Caldera,no data,11.98,-86.16
1101,299,Mashu,Japan,no data,855,Caldera,no data,43.57,144.57
1103,300,Mauna Kea,United States,no data,4205,Shield,no data,19.82,-155.47
1105,301,Mauna Loa,United States,no data,4170,Shield,no data,19.48,-155.61
1107,302,Mayon,Philippines,no data,2462,Stratovolcano,no data,13.26,123.69
1109,303,McDonald Islands,Australia,no data,230,Complex,no data,-53.03,72.60
1111,304,McLoughlin,United States,no data,2894,Lava cone Stratovolcano,no data,42.45,-122.32
1113,305,McLoughlin,United States,no data,2894,Lava cone Stratovolcano,no data,42.45,-122.32
1119,308,Menan Buttes,United States,no data,1713,Tuff ring,no data,43.70,-111.96
1121,309,Menengai,Kenya,no data,2278,Shield,no data,-0.20,0.6
1123,310,Merapi,Indonesia,no data,2911,Stratovolcano,no data,-7.54,110.44
1125,311,Merbabu,Indonesia,no data,3145,Stratovolcano,no data,-7.45,110.43
1127,312,Meru,Tanzania,no data,4565,Stratovolcano,no data,-3.25,36.75
1129,313,Methana,Greece,no data,760,Lava dome,no data,37.62,23.34
1131,314,Metis Shoal,Tonga,no data,43,Submarine,no data,-19.18,-174.87
1133,315,Michael,United Kingdom,no data,990,Stratovolcano,no data,-57.78,-26.45
1135,316,Michoacan-Guanajuato,Mexico,no data,3860,Cinder Cone,no data,19.85,-101.75
1137,317,M?los,Greece,no data,751,Stratovolcano,no data,36.70,24.44
1141,319,Moffett,United States,no data,1196,Stratovolcano,no data,51.94,-176.75
1143,320,Mojanda,Ecuador,no data,4263,Stratovolcano,no data,0.13,-78.27
1145,321,Momotombo,Nicaragua,no data,1297,Stratovolcano,no data,12.42,-86.54
1147,322,Monaco Bank,Portugal,no data,-197,Submarine,no data,37.60,-25.88
1149,323,Mono Lake Vol Field,United States,no data,2121,Volcanic field,no data,38.00,-119.03
1151,324,Monowai Seamount,New Zealand,no data,-132,Submarine,no data,-25.89,-177.19
1153,325,Moti,Indonesia,no data,950,Stratovolcano,no data,0.45,127.40
1155,326,Muria,Indonesia,no data,1625,Stratovolcano,no data,-6.62,110.88
